id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
23872584,Mountain View Private Room with Bathroom-TF1,144228546,The Cove Hostel,,Islands,22.22793,113.93312,Private room,399,1,4,2019-04-13,0.27,39,348
23872755,Mountain View Private Room with Bathroom-TF2,144228546,The Cove Hostel,,Islands,22.22874,113.93206,Private room,399,1,3,2018-10-02,0.21,39,0
23872885,Sea View Private Room with Bathroom-TF5,144228546,The Cove Hostel,,Islands,22.22805,113.93209,Private room,399,1,0,,,39,0
23872995,Sea View Private Room with Bathroom-TF6,144228546,The Cove Hostel,,Islands,22.22874,113.93341,Private room,399,1,2,2018-12-31,0.14,39,0
23873268,✪Monthly 45%off✪Affordable Double Rm Artistic Soho,23637521,Khrissie & Rafael,,Central & Western,22.28292,114.15181,Private room,782,2,16,2019-06-16,1.08,2,301
23873497,"全新房源!5分鐘銅鑼灣地下鐵站,心臟地帶,設計師精心設計!一廳一房,多窗,有電梯!",122154382,Lawrence,,Wan Chai,22.27759,114.18549,Entire home/apt,501,3,29,2019-06-10,1.94,5,363
23883493,New & cool one bedroom apartment with roof terrace,47482093,Iain,,Wan Chai,22.27315,114.17368,Entire home/apt,798,3,6,2019-02-07,0.38,1,0
23889286,* Designer 2BD Apartment with Spectacular Views *,7295936,Jessica,,Wan Chai,22.27156,114.18473,Entire home/apt,2989,3,1,2018-12-23,0.15,1,40
23891247,Central Studio with Private Balcony and Rooftop!,116000036,Joanna,,Central & Western,22.28218,114.15211,Entire home/apt,696,3,10,2019-05-12,0.64,1,46
23892487,Bright sea view apartment with balcony on Lamma,80342220,Ksenia,,Islands,22.22648,114.11175,Entire home/apt,853,1,32,2019-06-23,2.07,1,176
23892944,"COME INN 2~3인실(1더블,1싱글)침사취이역B1에서 5분거리  한국어/영어/중국어",28252790,Bella,,Yau Tsim Mong,22.29992,114.1743,Private room,313,1,51,2019-05-23,3.29,5,0
23893282,New apartment in Sai Ying Pun,25256519,Alain,,Central & Western,22.28614,114.14108,Entire home/apt,501,2,21,2019-05-05,1.32,1,0
23893289,COME INN. 2~4인실(2 더블침대)/한국어/영어/중국어,28252790,Bella,,Yau Tsim Mong,22.30019,114.1726,Private room,313,1,10,2019-05-04,0.66,5,0
23895878,2 mins to Causeway Bay MTR. 2 cozy beds 海景sea view,30703209,Simon,,Wan Chai,22.27959,114.18165,Entire home/apt,978,2,52,2019-06-19,3.81,6,6
23896122,NEW!2 mins to Causeway Bay MTR-銅鑼灣2分鐘到地鐵,30703209,Simon,,Wan Chai,22.28092,114.18244,Entire home/apt,978,2,69,2019-07-01,4.32,6,78
23905341,Cosy bedroom available in Sheung Wan neighbourhood,39534866,Ally,,Central & Western,22.28488,114.15149,Private room,696,1,7,2019-06-10,0.45,1,17
23908156,"Spacious flat Mid-Levels, Quiet area 5 min to Soho",106921351,Samuel,,Central & Western,22.2835,114.14763,Private room,1001,2,1,2018-04-01,0.06,2,0
23908681,Good room,160947102,Sunny,,Eastern,22.28925,114.19687,Private room,352,1,103,2019-07-08,6.59,3,43
23910527,"COME INN 2인실A(1더블침대) 침사취이역B1에서 5분거리, 한국어 영어 중국어가능",28252790,Bella,,Yau Tsim Mong,22.30059,114.17377,Private room,250,1,35,2019-05-26,2.26,5,0
23912685,太子溫馨小房子,15793244,Po Ying Jumbo,,Yau Tsim Mong,22.32562,114.16621,Entire home/apt,900,1,0,,,1,0
23913499,"COME INN 2인실C(1더블침대) 침사취이역B1에서 5분거리, 한국어 영어 중국어가능",28252790,Bella,,Yau Tsim Mong,22.3006,114.17243,Private room,305,1,30,2019-05-18,1.92,5,0
23913832,"COME INN 2인실D(1더블침대) 침사취이역B1에서 5분거리, 한국어 영어 중국어가능",28252790,Bella,,Yau Tsim Mong,22.30117,114.17458,Private room,595,1,22,2018-10-22,1.40,5,0
23915975,Riva 爾巒,168278939,Lily,,Yuen Long,22.44291,114.05529,Entire home/apt,1001,28,9,2019-05-12,0.66,1,111
23920721,"{SPACIOUS} Cozy Double Room, 2min to MTR #02dS",124591049,Maggie So,,Sham Shui Po,22.33126,114.1631,Private room,399,3,5,2018-09-09,0.33,15,66
